Type,Literal meaning,Figurative sentence
Sarcasm,You're still as obstinate as I remember.,You're just as persistent as I remember.
Sarcasm,I really want to believe you.,I really wanna trust you.
Sarcasm,Nothing is simple anymore.,Nothing's ever simple any more.
Sarcasm,I can'twait to get the hell away from here.,I can't wait to get out of here.
Sarcasm,"My business, my friends, you,Jack,the entire team... it's all my worid.","My work, my friends, you, Jack, the team, that's my world."
Sarcasm,Love is the only thing that endures.,Love's the one thing that can resist time.
Sarcasm,"He's so far away, we don't believe it.",It's so far away it's unbelievable.
Sarcasm,Missed you these last few days.,I've missed you the last few days.
Sarcasm,I would like to make your guardian acquainted.,I'd love to meet your guardian.
Sarcasm,It is a mind-boggling thought.,It's an astounding thought...
Sarcasm,I'd say that's not a bad idea.,I suppose it's a good idea.
Sarcasm,Illegal MagicNo of the XMLPort object %1.,Invalid MagicNo of XMLport object: %1.
Sarcasm,We can say the bell saved him.,Talk about saved by the bell.
Sarcasm,"Time can be so confusing, can't it?","Time can play nice, right?"
Sarcasm,"more than strange; it was impressive, interesting, pathetic.","it was more than just weird, it was enthralling, remarkable, touching."
Sarcasm,"I've arranged that hearing, Is that not enough?","I got you the hearing, isn't that good enough?"
Sarcasm,"I appreciate your consideration in not presenting the bill, Moray.","I appreciate your thoughtfulness about the account, Moray."
Sarcasm,I'll do better than that.,I'll make something even better.
Sarcasm,"That's a candle with the smell of Chocolate Biscuits, that's the perfect way to show the little dog lady that I love to bake and to work house chores, but I don't have to bake or do chores.","Oh, that's the chocolate chip cookie candle, it's the perfect way to let this dog lady know that I love to bake and do domestic stuff without actually having to bake or do domestic stuff."
Sarcasm,"Do not engage unless absolutely necessary, Bravo Team.","Don't interfere, except in the event of absolute necessity.Bravo team."
Sarcasm,I wish nothing more... ...than to disclose what is happening to these children.,I would love nothing better than to publicize what's going on with these children.
Sarcasm,The sea is so quiet here.,What a quiet sea.
Sarcasm,But they all shoot well.,But they're all good shots.
Sarcasm,"Gentlemen, you will be meeting a really strange creature.","Gentlemen, you're about to meet a truly rare creature."
Sarcasm,That it was ridiculous he took all the blame.,It's nice of him to take all the blame.
Sarcasm,I'm sorry for all the trouble I caused Vice-Administrator Lupo and Larry.,Of course. I'm so sorry about all of the trouble that I've caused with Deputy Lupo and Larry.
Sarcasm,I have much to hope for.,"Well, something to hope for."
Sarcasm,"Fry, this is the stupidest, sweetest thing you've ever done.","Fry, it's the dumbest and most adorable thing you've never done."
Sarcasm,"My, isn't the moonlight terrible?","Oh, isn't the moonshine terrifying?"
Sarcasm,We can all watch them instantly perish together.,"We could all watch them die at once, nice together."
Sarcasm,"You're self obsessed, insensitive and soul-sucking, but you're right.","You're possessed, numb, soul-sucking, but right."
Sarcasm,This is a very kind and strange boy.,"He's a very sweet, very special boy."
Sarcasm,It is said that women are the main outlet for hope.,"Apparently, women are the main market for hope. Welcome."
Sarcasm,"No, I like to initiate.","No, I love starting it."
Sarcasm,"It was a good scheme, but his plan was ruined by the storm's frenzy and the sudden jungle of the crazed weeds of the sea.","It was a nice plan, foiled by a raging storm and an unexpected jungle of mad vines."
Sarcasm,I became intensely curious about how this remarkable closeness had been developed.,I've grown immensely interested in where that remarkably intimate relationship has come from.
Sarcasm,Your bodies can easily be repaired.,"Your bodies, so easy to repair."
Sarcasm,I feel it is all for the good.,I think everything's going to be good.
Sarcasm,He gets better and better.,It just keeps getting better and better.
Sarcasm,"In a pathetic kind of way, yeah.","Pathetic kind of trip, yeah."
Sarcasm,Nothing's worth spending the rest of one's life incarcerated.,Still better than spending the rest of your life in jail.
Sarcasm,I like shitting in her and her husband.,I love it when I can take a shit on her and her husband.
Sarcasm,I'm sorry he hurt you.,"Oh, I'm so sorry you got hurt."
Sarcasm,"Shawn, I just... I-I don't really love anything more than telling you I was right, but I don't have a clue about what I'm right about.","Shawn, I love nothing more than to tell you I'm right, but I have no idea what I'm right about."
Sarcasm,you can do a lot of things with only one big wheel.,"So... with just one big wheel, you can do so many things."
Sarcasm,I wish one day we could talk together.,"It's my dream that one day, we'll be able to speak to each other."
Sarcasm,I can'twait until we tell the others.,I can't wait to tell the gang.
Sarcasm,I expect you to behave in all ways like a civilized human being.,I'm hoping you'll act like a decent person in all ways.
Sarcasm,"Okay, when they talk about things that are not gonna happen again, we never mention the accident at Top Gear again.","Good, talking about things will never happen again That we never mention that crash on Top Gear again."
Sarcasm,"All right, you can go.",You're good to go.
Sarcasm,"The elves, however, find it highly diverting and entertaining.",But the Elves find it most amusing and exciting.
Sarcasm,Judy and I adored Haloween.,Judy and I used to love Halloween.
Sarcasm,Astonishing you didn't notice.,Surprised you didn't notice.
Sarcasm,It shook my world.,He rocks my world.
Sarcasm,"I miss you, sally.","I've missed you, Sally."
Sarcasm,I have finally found a luxurious loneliness.,I finally found a beautiful solitude.
Sarcasm,Killing the soldiers at the river... ...was a good thing. I did not mind killing those men.,Killing the soldiers down by the river... was a good thing.
Sarcasm,"I mean, the way you're talking about food is just horribly sexy.",The way you talk about food is so sexy.
Sarcasm,You're being too smart about my list.,You're very clever with my list.
Sarcasm,I can't keep waiting on this.,I can't wait forever for that.
Sarcasm,Kyle's abdomen is completely flat.,Kyle's stomach is totally smooth.
Sarcasm,"I'm awfully glad you could be there, George.","Glad you could come, George."
Sarcasm,But expensive wine is good wine also.,"Yes, but expensive wine's also a nice wine."
Sarcasm,"You know, if you said you'd help me... I'd feel a lot less nervous.","You know, if you told me you were going to help me... you'd make me feel so much better."
Sarcasm,It's one of the hardest elements in the world.,Strongest element in the world.
Sarcasm,Your encyclopedical knowledge of everything perverse inspires horrific horror.,Your encyclopedic knowledge of the depraved Is awe-inspiring.
Sarcasm,"It's Hulk, he's on a tear.","That's the Hulk, she's ecstatic."
Sarcasm,"Oh, my God, Caroline.","Oh, my goodness, caroline."
Sarcasm,I always wanted to say that.,I've always looked forward to this.
Sarcasm,It was astonishing the power the weak could have en masse.,It was amazing what power the weak could have if they assembled in such numbers.
Sarcasm,"Eager to serve, to learn, to see the world and experience its many adventures.","Ready to serve, learning, seeing the world, and trying all adventures."
Sarcasm,He's the world's biggest cripple!,He's the greatest freak in the world!
Sarcasm,"I very much wish I could know what he's drawn, Dr. Reid.","Please. I'd love to know what he painted, Dr. Reid."
Sarcasm,"Because this was his home, though shabby, that was why.","Because this is his home, cheesy as it might be, that's why."
Sarcasm,This is like emptying the ocean with a teaspoon.,That's like pouring the ocean out with a spoon.
Sarcasm,Odin thinks this is a big one.,Odin thinks he's so great.
Sarcasm,"Bread keeps popping out, and you keep calling it toast, which is weird because you've put your bread in a lot of toasters, and apparently you don't see any difference.","The bread's still popping out, you still call the toast, Which was weird, because you pushed the bread in a lot of toaster, And you clearly don't see the difference; It's kind of fascinating."
Sarcasm,Depends on what you think is valuable.,"What matters is, in your opinion, what's a great value."
Sarcasm,I work with kids every day.,"I work with children every day, and they're just like you."
Sarcasm,"I'm telling you, it don't get no better than this.","I'll tell you, there's nothing better than this."
Sarcasm,Getting somebody from GNB on our side is a big deal for us.,Having a former GNB employee on our side is huge for us.
Sarcasm,I do like to watch the planes take off.,I like watching a plane take off.
Sarcasm,"The work we do, the emotions-- it's a thin line.","Working, what we're doing, and emotions... there's a fine line."
Sarcasm,I do not know ... I think that paradise!,I don't know.. but it looks so beautiful!
Sarcasm,"I mean, she's awfully sweet.",I think she's extremely nice.
Sarcasm,She was proud that she had been given this important task.,Very proud of having been chosen for this important assignment.
Sarcasm,He's going to be stunned by everything you've done.,He'll be so impressed with what you've done.
Sarcasm,I think I should like to go home.,And I'd love to go home.
Sarcasm,"I just, I just have to tell my boyfriend.","I just gotta tell my boyfriend, great."
Sarcasm,"Brother, she is sound asleep.","Bro, she's sleeping beautifully."
Sarcasm,Impressive. Penny's current suitor is asking the advice of an ex-suitor.,"Interesting, Penny's current suitor asking advice from her former suitor."
Sarcasm,I miss him too much.,"Oh, I miss her so much."
Sarcasm,It is so dense.,That is so cool.
Sarcasm,"Oh, but a life without love, that's terrible.","Brilliant! Ooh, but living without love, it's terrifying."
Sarcasm,"Oh, I don't believe you're here--",Can't believe you guys are here--
Sarcasm,"Caroline Ryan grabbed the two youngest and led them off, doing her motherly duty.",Caroline Ryan grabbed both youngest children and led them away - just like a good mom doing her maternity duty.
Sarcasm,All were tall and graceful.,They were all tall and lovely.
Sarcasm,"Appreciate what you said earlier about me being a father to you, even if it was said in the heat of the battle.","I appreciate the way you were talking about how I'm like a father to you before, even though that was said in the heat of battle."
Sarcasm,That's a hell of an excuse.,"Well, that's a nice touch."
Sarcasm,"This is Largo, a friend of mine.","Largo, my good friend."
Sarcasm,It's important to the children and their loved ones.,It is so meaningful to the children and their elderly loved ones.
Sarcasm,"The last time I got caught talking to a dead guy, I got pushed into a mental hospital, So leave!","The last time they caught me talking to a dead guy, they put me in the mental, so buzz off!"
Sarcasm,We value your presence here very much.,Your presence here is always greatly appreciated.
Sarcasm,I cannot wait for her here much longer.,I can't wait around for it much longer.
Sarcasm,"Well, you died in 1890, so you find it hard to credit.","I mean, of course, you died in 1890. So you find that incredible."
Sarcasm,I cannot wait until tomorrow.,I can't wait till tomorrow.
Sarcasm,I think it's a good idea. I'm sorry.,I think that's probably a good idea.
Sarcasm,I almost believed it on my own.,"So good, I almost believed it myself."
Sarcasm,Pretty girls always want happy endings.,Because all nice girls want happy endings.
Sarcasm,"For God sakes, Martha you have a lot to learn about men","Oh, my God, Martha, you still got so much to learn about men."
Sarcasm,"The finite mindcannot comprehend infinity, and the soul which comes from God is infinite.","A limited mind can't understand infinity, and a soul that's divine and immense."
Sarcasm,Minutes out of my life.,The minutes of my life.
Sarcasm,"Is it not so, Aibileen?","Ain't that right, Aibileen?"
Sarcasm,"We're neglecting turbulence, counting on a purely Newtonian liquid.",So we're assuming no turbulence and a nice Newtonian fluid.
Sarcasm,My mom lost a lot.,My mother missed so much.
Sarcasm,It should work out.,This should be good.
Sarcasm,"Yeah, I'm sorry for how I broke up with you, not... not for breaking up with you.","Yeah, so sorry to split up with you, not break up with you."
Sarcasm,"With perfect electronics, low weight and aerodynamic shape, the EV1 between electric vehicles is a small work of art.","With its sophisticated electronics, ultralight weight and efficient aerodynamics, the EV1 is the state of the art in electric cars."
Sarcasm,The friendliness of this establishment overwhelms me.,I'm impressed with the amiability of this facility.
Sarcasm,"I have not yet inspected the damage, but from what I hear you are to be complimented.","I haven't seen the damage, but what I hear you deserve praise."
Sarcasm,"I know I'm celebrity on campus, which is really weird, because my father's a senator and he's a wealthy and famous and stuff.","I know that I'm a campus celebrity, which is so weird just because my dad's a senator and rich and famous and whatever, but please..."
Sarcasm,Your son has a lion's share in it. His research is immaculate.,"Well, your son is doing great job, his researching is impeccable."
Sarcasm,He loved the glare of the searchlights; he was fascinated by life after death.,"How he loved the limelight, his fascination with life after death."
Sarcasm,"For instance, my main concern is the entertainment.","To me, it's about fun."
Sarcasm,"He seemed to have fallen into a pit with hippopos at the zoo, managed to get away and then jump back.","It's like he fell into the hippo pit at the zoo, managed to escape, and then jumped right back in again!"
Sarcasm,It's tough how they do it...,It's pretty cool the way they do that...
Sarcasm,I feel awfully popular.,I'm feeling extremely popular.
Sarcasm,It's not like that?,Isn't that right ?
Sarcasm,It's my little present to the family.,That's my gift for the family.
Sarcasm,I cannot believe the fuss about a single bag.,Can't believe all the fuss over one bag.
Sarcasm,I don't believe we're going to be VIP!,I love that we get to be VIP!
Sarcasm,You're lucky you're not back in the trunk.,You're lucky to be out of the trunk.
Sarcasm,"You know, Walter, you're right.","Yeah, Walter, that's right."
Sarcasm,"It seems like a very adult thing to do, fighting for your rights.",Fighting for my rights seems pretty grown-up to me.
Sarcasm,You are all I have now.,You're everything I got right now.
Sarcasm,"They had gold, though, and I will put up with a lot for gold.","But they had gold, a lot of gold, and that always relaxes me."
Sarcasm,"Yes, that's very ""piracy.""","Oh yes, that sounds very piratey."
Sarcasm,I could no longer wait.,I just couldn't wait.
Sarcasm,"So, it's not... up and down like a yoyo.","So it's not, like, top to bottom, like, yeah-yeah."
Sarcasm,I'm a sucker for atmosphere.,I love the intimate atmosphere.
Sarcasm,But how troubled are these remaining pieces and pieces.,But how tantalizing those remaining bits and pieces are.
Sarcasm,"You know, it was just as well that you left your employment.","You know, it's a good thing you quit your job."
Sarcasm,"He's anxious to pay, Abbs.","Can't wait for them to pay up, abbs."
Sarcasm,That's quite a strange relationship.,It's a pretty special connection.
Sarcasm,"Because I'm pretty sure that still bleeding means not healing, like, at all.",'Cause I'm fairly certain that permanent bleeding means that it doesn't heal at all.
Sarcasm,He's a little... - He's great. - .. useless.,It's a bit... - It's brilliant.
Sarcasm,"Mr. Walker, you cannot know how pleased I am to find justice done.","Mr. Walker, I can't tell you how pleased I am that justice has finally been served."
Sarcasm,It is a blessing you yet draw breath.,It's a blessing that you're still breathing.
Sarcasm,It's better to go out there with my assistant.,It is always good to go with my assistant.
Sarcasm,"Francesco Paolo, stop it, will you ?","Francesca Paolo, is that enough?"
Sarcasm,"At that late hour -- no, in fact, at that early hour, that was comfortable in that part of the world -- the rest of the division were quiet and silent.","The rest of the ward was quiet this late at--no, early in the morning, actually--a pleasant time in this part of the world."
Sarcasm,You need to be this beautiful so you can ride Quagmire.,"Well, hello! You must be this beautiful to ride the Quagmire."
Sarcasm,"She is a bad person, and I love her",It's the wrong person... And I love it.
Sarcasm,They are quite easily amused.,They're fairly easy to amuse.
Sarcasm,"But still, are you not the best super spy and most experienced archer in the world?","Still, aren't you the world's greatest super-spy and most expert marksman?"
Sarcasm,"Well, there's just no smooth or sophisticated way to do this, is there?","So, we can do this simple or subtle, right?"
Sarcasm,"Sir, I am most indebted to you for giving me a letter from Cecile.","Sir, I'm infinitely grateful to you for getting Cecile's letter to me."
Sarcasm,Looks like... a hell of a mess.,That looks like... a nice pastry.
Sarcasm,So this is completely insane.,So it's just absolutely crazy.
Sarcasm,"So bad, as a matter of fact, that I bought you something amazing.","So much, that I bought you something amazing for it."
Sarcasm,I'm his coach. - cool. horrifying.,"I'm his trainer. - cool, awesome."
Sarcasm,And I like her thin.,And I love her skinny.
Sarcasm,Yeah... It is a little crazy to go out with Hae-won,Yeah... it's kind of crazy dating Hae-won.
Sarcasm,I prefer that one.,"Well, I like this one."
Sarcasm,Seems like somebody had a crazed 21st birthday.,"Wow, looks like someone had a crazy 21st birthday."
Sarcasm,Dying to eat steak.,I'm dying for a steak.
Sarcasm,"I told him I can't, But he's adamant.","I said I couldn't, but he's so persistent."
Sarcasm,he is a gentle youth.,He's a fine young fellow.
Sarcasm,It was a place of enchantment and beauty.,"It was a charming, beautiful place."
Sarcasm,"You have defeated me, dark lord!","Oh, you beat me, Dark Lord!"
Sarcasm,"Look, I thought of it more as therapy.","See, I found it rather therapeutic actually."
Sarcasm,The lonesome is the key password.,Lonely is the best word.
Sarcasm,"Seriously, my legs are burning so badly. . .","Seriously, my feet are really hot. . ."
Sarcasm,This knockout will be discussed for many years.,That knockout will be talked about for years to come!
Sarcasm,It's a subtle way to express complicated thoughts.,It's the most subtle and powerful way of expressing complex ideas.
Sarcasm,For God's sakes Out!,For the love of God Out!
Sarcasm,You are a Sensitive and you have not stayed alive this long merely by being skilful with weapons.,"You're very perceptive, you didn't stay alive that long just because you're good at weapons."
Sarcasm,What? What are you laughing at?,What are you smiling about?
Sarcasm,Then you need to improve the most.,Then you'll be most improved.
Sarcasm,Miraculous... in villas and palaces... all those cardinals wearing purple were wandering around the houses.,The marvelous balls... in villas and palazzos... with all those cardinals dressed in red wandering about the house.
Sarcasm,It's the mostromantic illness I've ever had.,Okay. This is the most romantic disease I've ever had.
Sarcasm,I've spent much time in the prison library to avoid the less pleasant aspects of prison life.,That was a great way to avoid the more unpleasant aspects of prison life.
Sarcasm,"No official business, but...","Nothing official, but, hey..."
Sarcasm,"You have a rather original sense of comedy, Dr. Ambach.","What a remarkable sense of humour you have, Dr. Ambach."
Sarcasm,"Yeah, we're sorry about that.",Yeah. We're so apologising for that.
Sarcasm,"But, Alan, that's such a pitiful answer.","Alan, that is such a compassionate answer."
Sarcasm,Time enough to say S.O.S.,Just about right for S.O.S. to say.
Sarcasm,Meadows had a contact feeding him inside information about Visualize.,"Well, Meadows certainly had good connections to get inside information on Visualize."
Sarcasm,It's too great a place to place a small camera.,It's a good place for a mini action camera.
Sarcasm,Aw. -Welcome to Prometheus.,Welcome to the Prometheus.
Sarcasm,"Well, I do like to be thorough.","Well, I like being consistent."
Sarcasm,I cannot believe that we got out alive.,I can't believe we got out of there alive.
Sarcasm,I cannot believe that I'm here now.,I can't believe I'm actually here right now.
Sarcasm,I didn't mean to kill an animal.,I never meant to kill an beast. it's cool.
Sarcasm,It's always remained a mystery.,It was always a great enigma.
Sarcasm,"Admiral, this is a completely different Enterprise.","Admiral, this is an almost totally new Enterprise."
Sarcasm,I want us to be together like before,I'd like us to be together again like we used to be.
Sarcasm,And I don't have to remind them I made a lovely toast.,"And need I remind you, I gave a beautiful toast."
Sarcasm,"Well, that was a major setback.",That was a nice step backwards.
Sarcasm,All over their suits.,Nicely over their clothes.
Sarcasm,He was sweet enough that I needed to save him.,"He was so cute, I just had to save him."
Sarcasm,"Look, Concorde's not beautiful!","Look, isn't the Concorde gorgeous!"
Sarcasm,We are all very relieved.,We're all so reliefed.
Sarcasm,"Oh, my God, it stinks.","Oh, my goodness, that smells."
Sarcasm,"It's so beautiful, and I'm not talking about how gentle it is to the touch.","It's so beautiful... not to mention, smooth to the touch."
Sarcasm,But you mustn't forget joy and happiness.,"Can't forget the pleasure, the joy."
Sarcasm,The living is easy.,Living is so easy.
Sarcasm,Why are you doing all this for me?,"Why do all this for me, huh?"
Sarcasm,I feed my girlsto make her happy.,"Feeding my girls,making them happy."
Sarcasm,"Jesse is an incompatible donor, is she not?","Jesse's a compatible donor, right?"
Sarcasm,"With a soul or not, it's ridiculous.","Soul or not, that's funny."
Sarcasm,I'm gonna start turning my clients... onto group sex instead of Zoloft.,"It's a wonderful treatment, starting to turn my clients... into group sex instead of Zoloft."
Sarcasm,"Is it not, like, what you're living for?","Isn't this, like, what you live for?"
Sarcasm,We're a consolatory band.,We're a comforting band.
Sarcasm,We should call the police.,"We should get the police on the phone - Yes, indeed!"
Sarcasm,This makes no sense. We have a wonderfully elegant way out of this.,We've got a beautiful and elegant way out.
Sarcasm,"Lawrence, these are emotional times for all of us.","Lawrence, this is a very moving moment for all of us."
Sarcasm,I wish I only had a fraction of your charm and grace.,If only I had a ounce of your charm and elegance.
Sarcasm,You sure I'm not going to try and stop you?,And you're so confident that I won't try to stop you?
Sarcasm,Would I have believed that?,Can I believe it?
Sarcasm,Confidence is a terribly sexy quality in a woman.,Being confident is a really sexy characteristic with women.
Sarcasm,"What he had locked away, for his own peace of mind, was indeed evidence.","He locked a magazine for his own peace, it's really proof."
Sarcasm,And he leaves me this.,And gives me that.
Sarcasm,You don't know how much I like him.,I can't tell you how much I love it.
Sarcasm,"But the mayor pressed forward, completely deluded...","But the mayor was pushing him forward, totally dreamy."
Sarcasm,We'll need it in the next few days.,"Great, we're going to need them over the next few days."
Sarcasm,I can't be waiting for Pearson-Hardman to make an associate of me.,I can't wait for Pearson Hardman to make me a partner.
Sarcasm,This road is perfectly straight.,This road is fantastically smooth.
Sarcasm,Why do you not ask me how I am?,"Why don't you ask me how I've been, huh?"
Sarcasm,It's not about Nathan?,Isn't it thrilling about Nathan?
Sarcasm,They drive a very pretty car.,He drives a really nice car.
Sarcasm,"She's barely eighteen, blemishless, the only Lady of First Class Rank that I've been privileged to manage.","She's barely eighteen, perfection alone, the only first-class lady I've ever been lucky enough to lead."
Sarcasm,That's too much for a better sleep.,So much for sleeping better.
Sarcasm,There's an enormous effort at every step.,Every step is a mammoth effort.
Sarcasm,We offer only what we think is a good offer.,"We're just offering, and I think it's a good offer."
Sarcasm,I thought I'd leave it on the bed for privacy.,"I thought I'm going to leave this on the bed, just to be private... thank you."
Sarcasm,It was strange how much one could alter in so short a time.,It's funny how a man can change in such a short time.
Sarcasm,It's pleasant and cold.,That feels nice and cool.
Sarcasm,I'm on the right side.,"Well, my part is on the right side!"
Sarcasm,"I would have given it to you for free, but I need money for Mrs. Prins.","You would have gotten it for free, but I need some money to give Mrs. Prins. Thank you very much!"
Sarcasm,It is now no more than a minute bright spot in the galaxy.,Now he's a shining dot in the galaxy.
Sarcasm,"So... ...one weird day, huh?","Now... ...one special day, eh?"
Sarcasm,"I'm sorry about that, sir.","I'm sorry to hear,sir. yeah,okay."
Sarcasm,"And besides, nuts are awfully healthy.","Besides, nuts are super healthy."
Sarcasm,Your boys did everything they could to destroy any possible leads.,Your boys have done a magnificent job obliterating any potential evidence.
Sarcasm,There is nothing a woman enjoys so much as victory over another woman.,"To a woman, there's nothing more satisfying than winning over another woman."
Sarcasm,"Please, you can stay in my house.",I'd like you to stay at my house - Thank you
Sarcasm,We have to save Shaggy and Scooby!,We must save Shaggy and Scooby... just like we always do!
Sarcasm,Films are much better.,Movies are way better.
Sarcasm,You would do well to listen to what your dreams tell you.,It would be good to listen to what these dreams are saying.
Sarcasm,"Also, Didi makes a mean margarita.",Plus Didi's doing some great margarita.
Sarcasm,Depends on how good she gets there.,It's just how well it will stick to it.
Sarcasm,He is faithful and sweet and not guilty.,He's... he's loyal and sweet and innocent.
Sarcasm,He is so damned confident of himself.,He's just so damn sure of himself.
Sarcasm,Your kissing's improved too much.,Your kissing is getting a lot better.
Sarcasm,You just stole a pizza oven.,Congratulations. You just stole a pizza oven.
Sarcasm,I think that's all of it.,I guess that's everything.
Sarcasm,"Tequila is all up to you boys, and I've got a lot of thirst.","Tequila's on you guys, and I'm super thirsty."
Sarcasm,I'm not sure what to say.,I don't know what to say. Well done.
Sarcasm,"In many ways, I prefer my own company.","In many ways, I'm most pleased to be alone."
Sarcasm,That's an easy cure.,That's the best medicine.
Sarcasm,I also agreed with what you said today about Marcus' story.,"That's good, and I agree, too, in what you said about Marcus' story."
Sarcasm,"God, I lost so many shows by having friends.","God, I missed a lot of great television by having friends."
Sarcasm,"Oh, God, this is ridiculous.","Oh boy, that's a laugh."
Sarcasm,"What, you don't like it with the music?",Don't you love it with music?
Sarcasm,This is all for good cause.,It's all in a good cause.
Sarcasm,It's a... ...dreadful heaviness.,It's... Such a weight.
Sarcasm,"If you don't ever get an ultraviolet light, you'll be satisfied.","If you never get a black light, you'll be so happy here."
Sarcasm,"It is not wonderful, imagine living here.","Isn't it beautiful, imagine living here."
Sarcasm,Bo-Lin was the family friend.,Bo-Lin was a great friend to our family.
Sarcasm,"Notice the subtle detail, the clean lines, and the dresses aren't bad either.","Notice the fine detail, the clean lines the dress is nice, too."
Sarcasm,I'm wanting to tell you.,Happy to tell you.
Sarcasm,No need to lower it; this was a cutting-edge cooperation.,"There's nothing to diminish, this was excellent teamwork."
Sarcasm,I am as good at it as you guys are.,I'm every bit as good at that as you.
Sarcasm,"Draco, I cannot believe you so calmly took her departure.","Drac, I can't believe how calm you are about her leaving."
Sarcasm,Perfect is too strong a word.,"Okay, perfect's far too strong a word."
Sarcasm,A couple of hours would help too much.,A few hours would be perfect.
Sarcasm,A small faith would come in handy.,A little trust would be nice.
Sarcasm,It is time that the guilty finally suffers.,It's time for the culprit to finally pay!
Sarcasm,And I knew that I couldn't wait very long before I proposed.,I just knew I couldn't wait that long to ask you to marry me.
Sarcasm,It's my responsibility to get you back on your feet as quickly as possible.,"Now it's up to me to get you on your feet just as fast as I can, okay?"
Sarcasm,"You see, my father did very well under the circumstances.","You know, My father has been doing a really amazing job under the circumstances."
Sarcasm,I'm all right here.,I feel pretty good here.
Sarcasm,"It is an intriguing slogan, but most people can't afford to live like that.",It's a lovely slogan for a life most people can't afford to live.
Sarcasm,"Today, we have some shocking news from Rylatech.",Shocking news out of Rylatech today.
Sarcasm,They run all the search engine rankings.,Top hit on all search engines.
Sarcasm,That's all I need.,Just what I need.
Sarcasm,We had a little excitement here tonight.,That was quite a bit of excitement tonight.
Sarcasm,The better is yet to come.,But the best part has yet to come.
Sarcasm,Most girls would be upset about being slapped in the face but I happen to appreciate the drama of it.,"Most girls would be upset by such a slap, But I appreciate her dramatic significance."
Sarcasm,"If he touches her, I'll kill him.","If he lays a finger on her, I'm going to kill him, that's fair."
Sarcasm,They probably got what they wanted.,Guess they got what they needed.
Sarcasm,"Only 8% of the population is, say, highly mesmerizable people.","There's only eight percent of the population that's, like, highly hypnotisable."
Sarcasm,"That is a classical mistake, darling.","It's a classic mistake, sweetheart."
Sarcasm,This thing is affecting the town!,This thing's captivating the city!
Sarcasm,You like giving him bad news.,You love to give him the bad news.
Sarcasm,'Cause I have something very strange for you.,Because I got something special For you.
Sarcasm,It'sgood to talk about it in advance.,This is a good thing to talk about beforehand.
Sarcasm,I wonder if this isn't a nice welcome committee?,"Well, ain't this a nice welcoming committee?"
Sarcasm,"Well, as long as my people and equipment aren't under threat... I don't give a damn.","Well, as long as my people and equipment aren't put in jeopardy... ...I'm a happy Camper-"
Sarcasm,My students are fired up.,"Oh, my students are hot."
Sarcasm,A sympathetic program smuggled me out of the city.,One good program smuggled me out of town.
Sarcasm,I didn't know you went to such places.,I didn't know you came to places like this. Here we go.
Sarcasm,"Am I wrong, Zelda?","Isn't that right, Zelda?"
Sarcasm,It is very good that you did not come in for the show tonight.,It's really good you didn't come to the show tonight.
Sarcasm,Your language is completely different from that of my cats.,Your tongue feels so much different than my cat's.
Sarcasm,This is awful nice.,"Oh, that's awfully nice."
Sarcasm,It is extremely easy to engage in war.,It's remarkably easy to join a war.
Sarcasm,"And if this is good enough for James Hunt, I've nothing more to say on it.","And if that's good enough for James Hunt, I rest my case. Thank you."
Sarcasm,"We're indebted to you, Peck.","You have our tremendous gratitude, Peck."
Sarcasm,It's a lot of responsibility.,It's a tremendous responsibility.
Sarcasm,I've been wanting to meet you for a long time.,I've been looking forward to meeting you.
Sarcasm,The saxophone is more sonorous.,The saxophone's so much more resonant.
Sarcasm,You just stay home.,Have a nice stay home.
Sarcasm,"When he sits in nature surrounded by sheep, he films his body in a normal way.",But turning his body in a very natural way sitting in a landscape surrounded by sheep.
Sarcasm,"The Wild Houser is leading his flock through... ""cold night.","The wild gander leads his flock through the... both: ""Cool night."
Sarcasm,But the dance... the dance was unreal.,But the dancing... The dancing was incredible.
Sarcasm,You are fortunate I have not killed you.,You're lucky I didn't kill ya!
Sarcasm,"If you will allow me to comment, I believe that Mrs. Touchett has decided to return to America, at an extremely strange time.","If you don't mind my saying, it was the most extraordinary time for Mrs. Touchett to go to America."
Sarcasm,you can go on vacation. There's really a lot of variability,you can go for a holiday. It's a tremendous variation
Sarcasm,Tootie's the most horrible!,"Yeah, Tootie is the scariest!"
Sarcasm,"And I'm in love with you for that, But going after Ryan Hardy and the FBl is insane.","And I love you for it, but taking on Ryan Hardy and the FBI is crazy."
Sarcasm,"You know, Juanito, that's all you.","You know, Juanita, this is so like you."
Sarcasm,I worship the concept.,I adore the concept.
Sarcasm,There's a Michelangelo joke to be made.,Now would be a good time with that joke about Michelangelo.
Sarcasm,It's hard for me to believe you're actually in here.,I can't believe you're here!
Sarcasm,"Once the three of us got together, things started to be fine.","Once the three of us were together, everything felt right."
Sarcasm,Be careful of Darryl's body.,Watch Darryl's body Thank you.
Sarcasm,I feel like a kid in here!,I'm feeling like a baby here!
Sarcasm,Don't say you are.,Don't tell me you do - Of course I'm glad
Sarcasm,I found the pages of the Book of the Dead.,"Great, I found the additional pages Of the dead book."
Sarcasm,I'm not saying anything other than that it's a good thing.,"All I'm saying is, this is a good thing."
Sarcasm,Thank you for not sticking your nose in my business.,Thanks for keeping your nose out of my business.
Sarcasm,"Look, you're already in a jackpot.","Oh, hey, you're on the jackpot now."
Sarcasm,You know what? It's all right. We had a little trouble.,"You know what, everything's cool, we just have a little situation here."
