Type,Literal meaning,Figurative sentence
Metonymy,navy tuxedos infiltrated the red man,navy tuxedos infiltrated the red carpet
Metonymy,handsome tuxedos marched along the man,handsome tuxedos marched along the street
Metonymy,gorgeous gowns walked the model,gorgeous gowns walked the runway
Metonymy,gowns sashayed one last time around the gorgeous new model,gowns sashayed one last time around the gorgeous new space
Metonymy,black gowns scamper through the nightly woman,black gowns scamper through the nightly colleges
Metonymy,some of the larger more sweeping gowns came down the model,some of the larger more sweeping gowns came down the runway
Metonymy,beautifully made garments parade down the model,beautifully made garments parade down the runway
Metonymy,these garments walked the project runway model,these garments walked the project runway stage
Metonymy,the masks paraded through the people,the masks paraded through the streets
Metonymy,no fewer than 18 guns protected the soldier,no fewer than 18 guns protected the fort
Metonymy,sir hugh gough's well placed guns win a victory over a sikh soldier,sir hugh gough's well placed guns win a victory over a sikh force
Metonymy,plenty of guns fought against the nazi man,plenty of guns fought against the nazi regime
Metonymy,the polish guns breached the outer troops,the polish guns breached the outer wall
Metonymy,20 guns guarded the river soldier,20 guns guarded the river crossings
Metonymy,101 guns attacked the imperial fleet paraguayan soldier,101 guns attacked the imperial fleet paraguayan positions
Metonymy,656 guns supported the soldier,656 guns supported the attack
Metonymy,the cannons assaulted the soldier,the cannons assaulted the base
Metonymy,several hired hands are fabricating a employee,several hired hands are fabricating a replica
Metonymy,the two hired hands negotiate the person,the two hired hands negotiate the price
Metonymy,the rest of the hired hands napped after a morning of back-breaking employee,the rest of the hired hands napped after a morning of back-breaking work
Metonymy,the rancher hired some worker,the rancher hired some hands
Metonymy,women may not be able to supervise hired employee,women may not be able to supervise hired hands
Metonymy,farmers replace hired employee,farmers replace hired hands
Metonymy,10000 farms in new york state employ hired people,10000 farms in new york state employ hired hands
Metonymy,first and second violins sat on different sides of the violinist,first and second violins sat on different sides of the stage
Metonymy,the second violins brilliantly obeyed the musical violinist,the second violins brilliantly obeyed the musical score
Metonymy,the first violins will never stop moving their violinist,the first violins will never stop moving their arms
Metonymy,the first violin tunes her musician,the first violin tunes her instrument
Metonymy,the conductor seated the first and second violins across the violinist,the conductor seated the first and second violins across the stage
Metonymy,an orchestra needs violins tubas and musician,an orchestra needs violins tubas and flutes
Metonymy,a violin and cello join the trio on musician,a violin and cello join the trio on stage
Metonymy,the conductor conducts the player,the conductor conducts the violins
Metonymy,tubas take center player,tubas take center stage
Metonymy,more than 275 tubas performed festive songs of the player,more than 275 tubas performed festive songs of the season
Metonymy,the tubas are descending on faneuil player,the tubas are descending on faneuil hall
Metonymy,tubas still march around the player,tubas still march around the stadium
Metonymy,the bagpipes led a player,the bagpipes led a procession
Metonymy,76 trombones marched into the musician,76 trombones marched into the park
Metonymy,the horns trumpets and trombones ably handled their musician,the horns trumpets and trombones ably handled their parts
Metonymy,his father hired muscle to teach the student a person,his father hired muscle to teach the student a lesson
Metonymy,a woman tries to recruit muscle to remove the man filming the people,a woman tries to recruit muscle to remove the man filming the confrontation
Metonymy,the star has recruited extra muscle to watch over her people,the star has recruited extra muscle to watch over her family
Metonymy,the dictatorship employs muscle directly from people,the dictatorship employs muscle directly from cuba
Metonymy,hired muscle has arrived in man,hired muscle has arrived in town
Metonymy,her hired muscle whispered something to man,her hired muscle whispered something to her
Metonymy,local choir seeks singer,local choir seeks voices
Metonymy,millikin children's choirs invite many people,millikin children's choirs invite many voices
Metonymy,community choir welcomes new member,community choir welcomes new voices
Metonymy,the choir is recruiting singer,the choir is recruiting voices
Metonymy,the voices appeared on singer,the voices appeared on stage
Metonymy,the government machine harasses conservative commentator,the government machine harasses conservative voices
Metonymy,the state oppresses minority people,the state oppresses minority voices
Metonymy,security forces often arrest critical voices journalist,security forces often arrest critical voices too
Metonymy,the apartheid regime targeted and imprisoned any luminary people,the apartheid regime targeted and imprisoned any luminary voices
Metonymy,social media terrorists have intimidated all people,social media terrorists have intimidated all voices
Metonymy,the regime assassinated dissenting people,the regime assassinated dissenting voices
Metonymy,the company hires people,the company hires brains
Metonymy,the country attracts the people,the country attracts the brains
Metonymy,the best brains choose to emigrate people,the best brains choose to emigrate elsewhere
Metonymy,the best palates judged the expert,the best palates judged the wine
Metonymy,the expert invited the best connoisseur,the expert invited the best palates
